years,tradeDate,close
2012,1-May-12,582.13
2012,30-Apr-12,583.98
2012,27-Apr-12,603
2012,26-Apr-12,607.7
2012,25-Apr-12,610
2012,24-Apr-12,560.28
2012,23-Apr-12,571.7
2012,20-Apr-12,572.98
2012,19-Apr-12,587.44
2012,18-Apr-12,608.34
2012,17-Apr-12,609.7
2012,16-Apr-12,580.13
2012,13-Apr-12,605.23
2012,12-Apr-12,622.77
2012,11-Apr-12,626.2
2012,10-Apr-12,628.44
2012,9-Apr-12,636.23
2012,5-Apr-12,633.68
2012,4-Apr-12,624.31
2012,3-Apr-12,629.32
2012,2-Apr-12,618.63
2012,30-Mar-12,599.55
2012,29-Mar-12,609.86
2012,28-Mar-12,617.62
2012,27-Mar-12,614.48
2012,26-Mar-12,606.98
2012,23-Mar-12,596.05
2012,22-Mar-12,599.34
2012,21-Mar-12,602.5
2012,20-Mar-12,605.96
2012,19-Mar-12,601.1
2012,16-Mar-12,585.57
2012,15-Mar-12,585.56
2012,14-Mar-12,589.58
2012,13-Mar-12,568.1
2012,12-Mar-12,552
2012,9-Mar-12,545.17
2012,8-Mar-12,541.99
2012,7-Mar-12,530.69
2012,6-Mar-12,530.26
2012,5-Mar-12,533.16
2012,2-Mar-12,545.18
2012,1-Mar-12,544.47
2012,29-Feb-12,542.44
2012,28-Feb-12,535.41
2012,27-Feb-12,525.76
2012,24-Feb-12,522.41
2012,23-Feb-12,516.39
2012,22-Feb-12,513.04
2012,21-Feb-12,514.85
2012,17-Feb-12,502.12
2012,16-Feb-12,502.21
2012,15-Feb-12,497.67
2012,14-Feb-12,509.46
2012,13-Feb-12,502.6
2012,10-Feb-12,493.42
2012,9-Feb-12,493.17
2012,8-Feb-12,476.68
2012,7-Feb-12,468.83
2012,6-Feb-12,463.97
2012,3-Feb-12,459.68
2012,2-Feb-12,455.12
2012,1-Feb-12,456.19
2012,31-Jan-12,456.48
2012,30-Jan-12,453.01
2012,27-Jan-12,447.28
2012,26-Jan-12,444.63
2012,25-Jan-12,446.66
2012,24-Jan-12,420.41
2012,23-Jan-12,427.41
2012,20-Jan-12,420.3
2012,19-Jan-12,427.75
2012,18-Jan-12,429.11
2012,17-Jan-12,424.7
2012,13-Jan-12,419.81
2012,12-Jan-12,421.39
2012,11-Jan-12,422.55
2012,10-Jan-12,423.24
2012,9-Jan-12,421.73
2012,6-Jan-12,422.4
2012,5-Jan-12,418.03
2012,4-Jan-12,413.44
2012,3-Jan-12,411.23
2011,30-Dec-11,405
2011,29-Dec-11,405.12
2011,28-Dec-11,402.64
2011,27-Dec-11,406.53
2011,23-Dec-11,403.43
2011,22-Dec-11,398.55
2011,21-Dec-11,396.44
2011,20-Dec-11,395.95
2011,19-Dec-11,382.21
2011,16-Dec-11,381.02
2011,15-Dec-11,378.94
2011,14-Dec-11,380.19
2011,13-Dec-11,388.81
2011,12-Dec-11,391.84
2011,9-Dec-11,393.62
2011,8-Dec-11,390.66
2011,7-Dec-11,389.09
2011,6-Dec-11,390.95
2011,5-Dec-11,393.01
2011,2-Dec-11,389.7
2011,1-Dec-11,387.93
2011,30-Nov-11,382.2
2011,29-Nov-11,373.2
2011,28-Nov-11,376.12
2011,25-Nov-11,363.57
2011,23-Nov-11,366.99
2011,22-Nov-11,376.51
2011,21-Nov-11,369.01
2011,18-Nov-11,374.94
2011,17-Nov-11,377.41
2011,16-Nov-11,384.77
2011,15-Nov-11,388.83
2011,14-Nov-11,379.26
2011,11-Nov-11,384.62
2011,10-Nov-11,385.22
2011,9-Nov-11,395.28
2011,8-Nov-11,406.23
2011,7-Nov-11,399.73
2011,4-Nov-11,400.24
2011,3-Nov-11,403.07
2011,2-Nov-11,397.41
2011,1-Nov-11,396.51
2011,31-Oct-11,404.78
2011,28-Oct-11,404.95
2011,27-Oct-11,404.69
2011,26-Oct-11,400.6
2011,25-Oct-11,397.77
2011,24-Oct-11,405.77
2011,21-Oct-11,392.87
2011,20-Oct-11,395.31
2011,19-Oct-11,398.62
2011,18-Oct-11,422.24
2011,17-Oct-11,419.99
2011,14-Oct-11,422
2011,13-Oct-11,408.43
2011,12-Oct-11,402.19
2011,11-Oct-11,400.29
2011,10-Oct-11,388.81
2011,7-Oct-11,369.8
2011,6-Oct-11,377.37
2011,5-Oct-11,378.25
2011,4-Oct-11,372.5
2011,3-Oct-11,374.6
2011,30-Sep-11,381.32
2011,29-Sep-11,390.57
2011,28-Sep-11,397.01
2011,27-Sep-11,399.26
2011,26-Sep-11,403.17
2011,23-Sep-11,404.3
2011,22-Sep-11,401.82
2011,21-Sep-11,412.14
2011,20-Sep-11,413.45
2011,19-Sep-11,411.63
2011,16-Sep-11,400.5
2011,15-Sep-11,392.96
